<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019-08-14 15:13:00,1288.55,1289.05,1287.65,1287.8,55453
2019-08-14 15:14:00,1287.8,1289,1287.8,1289,54020
2019-08-14 15:15:00,1289,1289.2,1288,1288.35,86342
2019-08-14 15:16:00,1289,1289,1287.5,1288.1,156989
2019-08-14 15:17:00,1288.1,1288.15,1286.4,1287,119667
2019-08-14 15:18:00,1286.55,1287.9,1286.55,1287,71218
2019-08-14 15:19:00,1286.75,1287.7,1286.3,1286.4,76193
2019-08-14 15:20:00,1286.35,1287.85,1286.35,1287.7,58529
2019-08-14 15:21:00,1287.6,1287.95,1287.1,1287.85,50350
2019-08-14 15:22:00,1287.8,1287.8,1286.95,1287.25,85573
2019-08-14 15:23:00,1286.6,1287.4,1286.1,1286.9,85044
2019-08-14 15:24:00,1286.75,1287.8,1286.7,1287.45,48367
2019-08-14 15:25:00,1287.4,1287.45,1286.35,1286.45,51818
2019-08-14 15:26:00,1286.45,1286.95,1286.35,1286.8,51087
2019-08-14 15:27:00,1286.7,1287,1286.7,1286.95,72962
2019-08-14 15:28:00,1286.95,1287.3,1286.6,1287,49191
2019-08-14 15:29:00,1287,1288.45,1286.95,1288.4,31048
2019-08-16 09:15:00,1291.2,1288.95,1281.85,1285.6,347253
2019-08-16 09:16:00,1285.5,1286.6,1281.5,1285.9,242282
2019-08-16 09:17:00,1286.25,1286.25,1282.05,1283,148245
2019-08-16 09:18:00,1283.6,1284.7,1283.05,1283.85,82071
2019-08-16 09:19:00,1283.2,1284.3,1282.95,1283.95,84925
2019-08-16 09:20:00,1284.15,1284.6,1282.95,1284.2,60335
2019-08-16 09:21:00,1284.25,1284.25,1282.6,1283.2,78764
2019-08-16 09:22:00,1283.5,1284.5,1282.1,1282.1,80274
2019-08-16 09:23:00,1282,1283.65,1282,1282.15,80374
2019-08-16 09:24:00,1282.1,1284,1281.55,1284,65467
2019-08-16 09:25:00,1284,1286,1284,1286,63135
2019-08-16 09:26:00,1285.95,1285.95,1282.8,1283.2,43781
2019-08-16 09:27:00,1282.8,1283.55,1282.8,1283.55,43855
2019-08-16 09:28:00,1283.55,1283.55,1282.9,1283.05,34180
2019-08-16 09:29:00,1283.1,1283.1,1282.05,1282.4,53018
2019-08-16 09:30:00,1282.35,1282.4,1278.75,1279.15,146865
