<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019-08-20 13:08:00,415.25,415.6,415.1,415.55,23425
2019-08-20 13:09:00,415.55,415.6,415.4,415.6,29302
2019-08-20 13:10:00,415.5,415.55,415.25,415.5,22217
2019-08-20 13:11:00,415.55,415.8,415.55,415.75,19510
2019-08-20 13:12:00,415.75,415.8,415.7,415.75,11802
2019-08-20 13:13:00,415.8,415.8,415.4,415.55,23171
2019-08-20 13:14:00,415.5,416,415.5,415.9,18421
2019-08-20 13:15:00,415.9,416,415.85,416,33886
2019-08-20 13:16:00,416,416.8,415.9,416,187552
2019-08-20 13:17:00,416.15,417.95,416,417.6,98673
2019-08-20 13:18:00,417.7,417.9,417.3,417.75,43058
2019-08-20 13:19:00,417.55,418.65,417.35,418.2,96858
2019-08-20 13:20:00,418.15,418.6,418.15,418.35,47392
2019-08-20 13:21:00,418.15,418.4,417.95,418,50108
2019-08-20 13:22:00,417.95,418.15,417.55,417.7,38438
2019-08-20 13:23:00,417.55,418.25,417.55,418.15,29388
2019-08-20 13:24:00,418.15,418.2,417.8,417.85,20679
2019-08-20 13:25:00,417.9,418.05,417.6,417.75,40382
2019-08-20 13:26:00,417.95,418.05,417.55,417.95,38337
2019-08-20 13:27:00,417.85,417.95,417.85,417.85,22681
2019-08-20 13:28:00,418.3,418.5,418,418.35,34093
2019-08-20 13:29:00,418.25,418.4,418.05,418.35,30187
2019-08-20 13:30:00,418.35,419,418.35,419,73923
2019-08-20 13:31:00,419,419,418.5,418.55,62835
2019-08-20 13:32:00,418.75,418.75,418.6,418.6,16985
2019-08-20 13:33:00,418.7,418.7,418.1,418.1,31878
2019-08-20 13:34:00,418.1,418.25,418,418.05,62004
2019-08-20 13:35:00,418,418.15,418,418.1,33601
2019-08-20 13:36:00,418.15,418.5,418.15,418.5,22347
2019-08-20 13:37:00,418.5,418.5,418.15,418.2,15731
2019-08-20 13:38:00,418.2,418.6,418.2,418.6,61407
2019-08-20 13:39:00,418.65,418.9,418.15,418.2,40310
2019-08-20 13:40:00,418.25,418.3,418.05,418.25,25505
2019-08-20 13:41:00,418.3,418.45,417.85,418.05,97796
2019-08-20 13:42:00,418,418.1,417.95,418,102341
2019-08-20 13:43:00,418,418.05,417.95,418,83008
2019-08-20 13:44:00,418.05,418.95,418,418.85,41104
2019-08-20 13:45:00,418.85,418.9,418.1,418.35,31122
2019-08-20 13:46:00,418.35,418.35,418,418.15,21295
2019-08-20 13:47:00,418.15,418.15,417.75,417.75,61340
2019-08-20 13:48:00,417.85,417.95,417.6,417.7,33445
2019-08-20 13:49:00,417.65,417.95,417.65,417.9,21543
2019-08-20 13:50:00,417.9,418.25,416.8,416.9,111750
2019-08-20 13:51:00,416.95,417.1,416.5,416.5,78936
2019-08-20 13:52:00,416.45,417.3,416.3,417,53797
2019-08-20 13:53:00,417.15,417.15,416.75,416.9,18420
2019-08-20 13:54:00,416.95,417.6,416.9,417.6,26343
2019-08-20 13:55:00,417.55,417.7,417.35,417.6,25218
2019-08-20 13:56:00,417.3,417.55,417,417.1,27501
2019-08-20 13:57:00,417,417.5,416.95,417.5,23404
2019-08-20 13:58:00,417.45,417.7,417.45,417.55,14985
2019-08-20 13:59:00,417.5,417.65,417.45,417.6,19774
2019-08-20 14:00:00,417.65,418.5,417.6,418.5,67609
2019-08-20 14:01:00,418.4,418.5,418.05,418.15,23368
2019-08-20 14:02:00,418.1,418.4,418.05,418.25,33103
2019-08-20 14:03:00,418.25,418.95,418.25,418.65,41277
2019-08-20 14:04:00,418.6,418.6,417.9,417.95,26730
2019-08-20 14:05:00,418.05,418.45,417.9,418.25,24531
2019-08-20 14:06:00,418.2,418.35,418.2,418.3,26957
2019-08-20 14:07:00,418.35,418.35,417.75,417.95,21610
2019-08-20 14:08:00,417.95,418,417.75,418,26267
2019-08-20 14:09:00,418,418.15,417.85,418,21187
2019-08-20 14:10:00,418,418,417.85,417.9,21217
2019-08-20 14:11:00,417.9,417.9,417.35,417.75,44036
2019-08-20 14:12:00,417.8,417.8,417.6,417.7,17183
2019-08-20 14:13:00,417.7,418.15,417.65,418.15,19931
2019-08-20 14:14:00,418.15,418.15,417.95,418.05,15453
2019-08-20 14:15:00,418.05,418.05,417.75,417.85,21313
2019-08-20 14:16:00,417.85,418.15,417.75,417.85,24459
2019-08-20 14:17:00,417.75,417.75,417.2,417.5,35441
2019-08-20 14:18:00,417.5,418.1,417.45,418.05,22759
2019-08-20 14:19:00,418.05,418.1,417.85,417.95,15534
2019-08-20 14:20:00,417.95,418.25,417.8,418.15,25365
2019-08-20 14:21:00,418.25,418.4,418.1,418.35,18717
2019-08-20 14:22:00,418.4,418.4,418.1,418.2,15566
2019-08-20 14:23:00,418.2,418.2,417.85,417.85,11514
2019-08-20 14:24:00,417.9,418.1,417.8,418,11436
2019-08-20 14:25:00,418.15,418.2,418.05,418.1,11624
2019-08-20 14:26:00,418.1,418.1,417.9,417.95,22745
2019-08-20 14:27:00,417.9,418.3,417.9,418.2,29393
2019-08-20 14:28:00,418.3,418.75,418.25,418.65,40926
2019-08-20 14:29:00,418.7,418.85,418.5,418.6,39621
2019-08-20 14:30:00,418.5,418.8,418.5,418.8,27692
2019-08-20 14:31:00,418.8,418.8,418.35,418.35,13645
2019-08-20 14:32:00,418.2,418.55,418.15,418.5,25090
2019-08-20 14:33:00,418.45,418.45,418,418.25,21164
2019-08-20 14:34:00,418.35,418.5,418.25,418.35,14366
2019-08-20 14:35:00,418.35,418.35,418.2,418.35,13847
2019-08-20 14:36:00,418.35,418.35,418.25,418.3,13964
2019-08-20 14:37:00,418.1,418.2,417.75,418.1,39750
2019-08-20 14:38:00,418.15,418.15,417.65,417.65,23953
2019-08-20 14:39:00,417.6,417.9,417.6,417.85,33070
2019-08-20 14:40:00,417.85,418.1,417.65,417.8,46759
2019-08-20 14:41:00,417.8,417.9,417.1,417.1,59327
2019-08-20 14:42:00,417.15,417.15,416.7,416.8,57976
2019-08-20 14:43:00,416.9,417,416.3,416.4,65584
2019-08-20 14:44:00,416.45,417,416.3,416.75,56567
2019-08-20 14:45:00,416.55,416.7,416.25,416.3,36957
2019-08-20 14:46:00,416.25,416.25,415.6,415.75,75085
2019-08-20 14:47:00,415.75,416.3,415.5,415.8,59095
2019-08-20 14:48:00,415.85,416.15,415.75,416,27547
2019-08-20 14:49:00,415.95,416.35,415.95,416.3,38567
2019-08-20 14:50:00,416.25,416.25,415.85,415.9,24421
2019-08-20 14:51:00,416,416.3,415.95,416.3,29835
2019-08-20 14:52:00,416.2,416.3,415.85,416.15,34152
2019-08-20 14:53:00,416.1,416.5,416.05,416.3,32518
2019-08-20 14:54:00,416.15,416.5,416.1,416.45,16615
2019-08-20 14:55:00,416.4,417,416.2,417,37411
2019-08-20 14:56:00,417,417.5,417,417.4,25638
2019-08-20 14:57:00,417.4,417.4,417,417.05,41252
2019-08-20 14:58:00,417,417.35,417,417.25,14554
2019-08-20 14:59:00,417.25,417.3,417,417.15,18428
2019-08-20 15:00:00,417.15,417.15,417,417.15,30540
2019-08-20 15:01:00,417.1,417.35,417.1,417.35,36022
2019-08-20 15:02:00,417.35,417.5,417.1,417.15,45524
2019-08-20 15:03:00,417.15,417.15,417,417.1,31442
2019-08-20 15:04:00,417.1,417.1,417.05,417.05,26485
