<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019-08-14 15:13:00,290.35,290.35,289.65,289.7,68888
2019-08-14 15:14:00,289.75,290.3,289.5,290.3,87505
2019-08-14 15:15:00,290.15,290.3,289.85,290.15,125278
2019-08-14 15:16:00,290.05,290.65,289.85,290.2,200521
2019-08-14 15:17:00,290.3,290.3,289.9,290.05,52297
2019-08-14 15:18:00,290.05,290.3,290,290,76709
2019-08-14 15:19:00,290.1,290.2,290,290,105660
2019-08-14 15:20:00,290.05,290.05,289.65,289.9,69832
2019-08-14 15:21:00,290,290,289.4,289.5,94037
2019-08-14 15:22:00,289.45,289.8,289.45,289.75,123405
2019-08-14 15:23:00,289.9,289.9,289.55,289.65,112421
2019-08-14 15:24:00,289.6,289.6,289.4,289.5,89951
2019-08-14 15:25:00,289.45,289.55,289.4,289.55,137834
2019-08-14 15:26:00,289.5,289.5,289.1,289.15,66094
2019-08-14 15:27:00,289.05,289.15,289,289.15,80192
2019-08-14 15:28:00,289.15,289.2,289,289.05,50304
2019-08-14 15:29:00,289.05,289.3,289,289,35141
2019-08-16 09:15:00,287.95,287.35,285.8,286.1,217212
2019-08-16 09:16:00,286.05,286.35,285.5,286.35,173113
2019-08-16 09:17:00,286.35,286.4,286,286.4,93737
2019-08-16 09:18:00,286.4,286.6,286.3,286.5,82876
2019-08-16 09:19:00,286.5,286.5,285.6,285.6,140246
2019-08-16 09:20:00,285.55,285.55,284.85,285.4,137775
2019-08-16 09:21:00,285.4,285.7,285.2,285.7,117986
2019-08-16 09:22:00,285.7,286.1,285.55,285.55,92893
2019-08-16 09:23:00,285.75,285.95,285.5,285.9,54636
2019-08-16 09:24:00,285.85,286.1,285.85,286,61745
2019-08-16 09:25:00,286,286.1,285.8,285.85,37901
2019-08-16 09:26:00,285.8,285.9,285.4,285.9,83209
2019-08-16 09:27:00,285.9,286.35,285.9,286.2,75560
2019-08-16 09:28:00,286.15,286.25,285.9,285.9,37053
2019-08-16 09:29:00,285.9,286,285.4,285.55,48254
2019-08-16 09:30:00,285.55,285.7,285.4,285.55,67432
2019-08-16 09:31:00,285.55,286.05,285.4,286,54572
2019-08-16 09:32:00,286,286.05,285.5,285.55,25168
2019-08-16 09:33:00,285.7,285.8,285.55,285.8,28343
2019-08-16 09:34:00,285.8,285.8,285.3,285.3,107177
2019-08-16 09:35:00,285.45,285.55,285.3,285.4,37060
2019-08-16 09:36:00,285.4,285.55,284.5,284.6,165616
2019-08-16 09:37:00,284.55,285.45,284.4,285.2,177401
2019-08-16 09:38:00,285.35,285.8,285.2,285.8,77736
2019-08-16 09:39:00,285.9,285.95,285.35,285.4,47613
2019-08-16 09:40:00,285.45,286.1,285.35,286.05,49474
2019-08-16 09:41:00,286,286.2,285.85,286.1,36301
2019-08-16 09:42:00,286.1,286.25,285.8,285.95,38536
2019-08-16 09:43:00,285.95,286.15,285.95,286,35084
2019-08-16 09:44:00,286.1,286.1,285.8,286,48097
2019-08-16 09:45:00,286.1,286.55,286.1,286.45,85476
2019-08-16 09:46:00,286.35,286.6,286.2,286.35,38824
2019-08-16 09:47:00,286.3,286.55,285.25,285.4,95541
2019-08-16 09:48:00,285.45,285.95,285.45,285.9,35403
2019-08-16 09:49:00,285.85,286.2,285.8,286.1,28813
2019-08-16 09:50:00,285.9,286,285.7,285.95,16732
2019-08-16 09:51:00,285.95,286,285.5,285.5,64443
2019-08-16 09:52:00,285.75,285.85,285.55,285.8,29339
2019-08-16 09:53:00,285.7,286,285.7,285.9,31497
2019-08-16 09:54:00,285.95,286.25,285.8,286.15,65211
2019-08-16 09:55:00,286.15,286.25,286,286.05,39944
2019-08-16 09:56:00,286.15,286.2,285.9,286.1,78013
2019-08-16 09:57:00,286.2,286.2,286,286.15,24705
2019-08-16 09:58:00,286.1,286.1,285.75,285.85,26783
2019-08-16 09:59:00,285.85,286.1,285.8,285.9,29235
2019-08-16 10:00:00,285.9,286.2,285.9,286.1,17489
2019-08-16 10:01:00,286.15,286.15,285.95,285.95,13245
2019-08-16 10:02:00,285.95,286.05,285.75,285.95,32411
2019-08-16 10:03:00,285.95,286,285.6,285.65,24848
2019-08-16 10:04:00,285.6,285.8,285.5,285.7,68462
2019-08-16 10:05:00,285.7,285.85,285.5,285.8,36425
